Action,Cours_Prec,Cours_Cloture,Var_Trim,Volume,Quantite,Nb_Seances,Date_Rapport
AFMA,1248.0,1160.0,-0.0705,5527629.0,4586.0,60.0,20240930
AFRIC INDUSTRIES SA,317.0,310.75,-0.0197,6713302.5,21564.0,58.0,20240930
AFRIQUIA GAZ,3900.0,3805.0,-0.024399999999999998,75834432.0,19695.0,50.0,20240930
AGMA,6825.0,6956.0,0.0192,1608252.0,238.0,13.0,20240930
AKDITAL,691.0,1071.0,0.5499,1512486680.8,1677167.0,60.0,20240930
ALLIANCES,246.0,323.0,0.313,730878961.1,2616322.0,60.0,20240930
ALUMINIUM DU MAROC,1509.0,1385.0,-0.08220000000000001,6031372.0,4214.0,52.0,20240930
ARADEI CAPITAL,500.0,497.0,-0.006,123721059.0,245776.0,59.0,20240930
ATLANTASANAD,132.0,139.95,0.0602,87829289.55,666604.0,58.0,20240930
ATTIJARIWAFA BANK,515.5,543.0,0.0533,1703354333.3,3163906.0,60.0,20240930
AUTO HALL,73.0,72.5,-0.0068000000000000005,104828054.29,1477458.0,60.0,20240930
AUTO NEJMA,1951.0,2068.0,0.06,14476.0,7.0,1.0,20240930
BALIMA,235.0,230.0,-0.0213,359117.3,1694.0,29.0,20240930
BANK OF AFRICA,193.9,193.0,-0.0046,97228847.15,504377.0,59.0,20240930
BCP,296.0,287.9,-0.0274,1200365317.65,3967747.0,60.0,20240930
BMCI,605.0,610.0,0.0083,50680428.6,80366.0,46.0,20240930
CARTIER SAADA,31.59,37.0,0.17129999999999998,5061420.52,137225.0,58.0,20240930
CDM,950.0,891.2,-0.061900000000000004,39314295.6,43365.0,32.0,20240930
CFG BANK,160.0,188.0,0.175,282109205.65,1606441.0,60.0,20240930
CIH,388.0,408.0,0.0526,209815492.9,523345.0,58.0,20240930
CIMENTS DU MAROC,1820.0,1800.0,-0.011000000000000001,342402761.0,188481.0,58.0,20240930
COLORADO,52.97,53.7,0.0138,4347973.21,84389.0,58.0,20240930
COSUMAR,195.95,190.8,-0.0263,201560716.7,1066706.0,60.0,20240930
CTM,695.0,660.5,-0.0496,2897110.6,4358.0,48.0,20240930
DARI COUSPATE,3593.0,3699.0,0.029500000000000002,1776972.0,504.0,15.0,20240930
DELATTRE LEVIVIER MAROC,40.0,40.0,0.0,0.0,0.0,0.0,20240930
DELTA HOLDING,49.0,58.0,0.1837,94180355.63,1795815.0,59.0,20240930
DIAC SALAF,26.25,26.25,0.0,0.0,0.0,0.0,20240930
DISTY TECHNOLOGIES,258.5,245.0,-0.052199999999999996,19325438.95,80286.0,59.0,20240930
DISWAY,697.0,662.3,-0.049800000000000004,15559156.8,23135.0,55.0,20240930
